Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Ch	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Counter	Count
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	76	0	76	76	76	718.666687	701	718.5	700.5	0	718	701	1	1	1.128379167	1.128379167	0	0	0	76	76	NaN	NaN	100	76	2	718	798	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	33	0	33	33	33	714.333313	700.333313	714.5	700.5	0	714	701	1	1	1.128379167	1.128379167	0	0	0	33	33	NaN	NaN	100	33	2	714	798	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	33	0	33	33	33	712.666687	700.333313	712.5	700.5	0	712	701	1	1	1.128379167	1.128379167	0	0	0	33	33	NaN	NaN	100	33	2	712	798	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	69	0	69	69	69	710.333313	702.666687	710.5	702.5	0	710	703	1	1	1.128379167	1.128379167	0	0	0	69	69	NaN	NaN	100	69	2	710	796	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	76	0	76	76	76	704.666687	705.333313	704.5	705.5	0	704	706	1	1	1.128379167	1.128379167	0	0	0	76	76	NaN	NaN	100	76	2	704	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	51	0	51	51	51	702.333313	707.333313	702.5	707.5	0	702	708	1	1	1.128379167	1.128379167	0	0	0	51	51	NaN	NaN	100	51	2	702	791	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	44	0	44	44	44	701	708.666687	701.5	708.5	0	701	709	1	1	1.128379167	1.128379167	0	0	0	44	44	NaN	NaN	100	44	2	701	790	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	43	0	43	43	43	695.666687	713	695.5	712.5	0	695	713	1	1	1.128379167	1.128379167	0	0	0	43	43	NaN	NaN	100	43	2	695	786	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	65	0	65	65	65	700.666687	713.333313	700.5	713.5	0	700	714	1	1	1.128379167	1.128379167	0	0	0	65	65	NaN	NaN	100	65	2	700	785	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	55	0	55	55	55	704.333313	712.333313	704.5	712.5	0	704	713	1	1	1.128379167	1.128379167	0	0	0	55	55	NaN	NaN	100	55	2	704	786	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	39	0	39	39	39	704.666687	711.666687	704.5	711.5	0	704	712	1	1	1.128379167	1.128379167	0	0	0	39	39	NaN	NaN	100	39	2	704	787	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	67	0	67	67	67	706	710.666687	706.5	710.5	0	706	711	1	1	1.128379167	1.128379167	0	0	0	67	67	NaN	NaN	100	67	2	706	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	60	0	60	60	60	707.333313	709.666687	707.5	709.5	0	707	710	1	1	1.128379167	1.128379167	0	0	0	60	60	NaN	NaN	100	60	2	707	789	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	37	0	37	37	37	709.333313	709.333313	709.5	709.5	0	709	710	1	1	1.128379167	1.128379167	0	0	0	37	37	NaN	NaN	100	37	2	709	789	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	57	0	57	57	57	710.666687	708.666687	710.5	708.5	0	710	709	1	1	1.128379167	1.128379167	0	0	0	57	57	NaN	NaN	100	57	2	710	790	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	45	0	45	45	45	711.333313	708	711.5	707.5	0	711	708	1	1	1.128379167	1.128379167	0	0	0	45	45	NaN	NaN	100	45	2	711	791	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	13	0	13	13	13	714.666687	708	714.5	707.5	0	714	708	1	1	1.128379167	1.128379167	0	0	0	13	13	NaN	NaN	100	13	2	714	791	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	42	0	42	42	42	722.333313	713.333313	722.5	713.5	0	722	714	1	1	1.128379167	1.128379167	0	0	0	42	42	NaN	NaN	100	42	2	722	785	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	61	0	61	61	61	723	713.666687	723.5	713.5	0	723	714	1	1	1.128379167	1.128379167	0	0	0	61	61	NaN	NaN	100	61	2	723	785	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	93	0	93	93	93	726.333313	715.333313	726.5	715.5	0	726	716	1	1	1.128379167	1.128379167	0	0	0	93	93	NaN	NaN	100	93	2	726	783	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	79	0	79	79	79	716	705.666687	716.5	705.5	0	716	706	1	1	1.128379167	1.128379167	0	0	0	79	79	NaN	NaN	100	79	2	716	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	79	0	79	79	79	716.333313	705.666687	716.5	705.5	0	716	706	1	1	1.128379167	1.128379167	0	0	0	79	79	NaN	NaN	100	79	2	716	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	47	0	47	47	47	714	705.333313	714.5	705.5	0	714	706	1	1	1.128379167	1.128379167	0	0	0	47	47	NaN	NaN	100	47	2	714	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	66	0	66	66	66	708	707	708.5	706.5	0	708	707	1	1	1.128379167	1.128379167	0	0	0	66	66	NaN	NaN	100	66	2	708	792	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	59	0	59	59	59	704.666687	709	704.5	708.5	0	704	709	1	1	1.128379167	1.128379167	0	0	0	59	59	NaN	NaN	100	59	2	704	790	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	85	0	85	85	85	706.666687	710	706.5	709.5	0	706	710	1	1	1.128379167	1.128379167	0	0	0	85	85	NaN	NaN	100	85	2	706	789	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	46	0	46	46	46	711.333313	711.666687	711.5	711.5	0	711	712	1	1	1.128379167	1.128379167	0	0	0	46	46	NaN	NaN	100	46	2	711	787	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	30	0	30	30	30	714.333313	711.666687	714.5	711.5	0	714	712	1	1	1.128379167	1.128379167	0	0	0	30	30	NaN	NaN	100	30	2	714	787	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	53	0	53	53	53	717.666687	712	717.5	711.5	0	717	712	1	1	1.128379167	1.128379167	0	0	0	53	53	NaN	NaN	100	53	2	717	787	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	93	0	93	93	93	721	712.666687	721.5	712.5	0	721	713	1	1	1.128379167	1.128379167	0	0	0	93	93	NaN	NaN	100	93	2	721	786	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	44	0	44	44	44	780	710.333313	780.5	710.5	0	780	711	1	1	1.128379167	1.128379167	0	0	0	44	44	NaN	NaN	100	44	2	780	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	85	0	85	85	85	785	710.666687	785.5	710.5	0	785	711	1	1	1.128379167	1.128379167	0	0	0	85	85	NaN	NaN	100	85	2	785	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	85	0	85	85	85	785.333313	710.666687	785.5	710.5	0	785	711	1	1	1.128379167	1.128379167	0	0	0	85	85	NaN	NaN	100	85	2	785	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	27	0	27	27	27	787.666687	710.666687	787.5	710.5	0	787	711	1	1	1.128379167	1.128379167	0	0	0	27	27	NaN	NaN	100	27	2	787	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	72	0	72	72	72	790.333313	710.666687	790.5	710.5	0	790	711	1	1	1.128379167	1.128379167	0	0	0	72	72	NaN	NaN	100	72	2	790	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	59	0	59	59	59	793	710.666687	793.5	710.5	0	793	711	1	1	1.128379167	1.128379167	0	0	0	59	59	NaN	NaN	100	59	2	793	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	58	0	58	58	58	797	710.666687	797.5	710.5	0	797	711	1	1	1.128379167	1.128379167	0	0	0	58	58	NaN	NaN	100	58	2	797	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	39	0	39	39	39	799.666687	710.666687	799.5	710.5	0	799	711	1	1	1.128379167	1.128379167	0	0	0	39	39	NaN	NaN	100	39	2	799	788	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	255	0	255	255	255	778	814.333313	778.5	814.5	0	778	815	1	1	1.128379167	1.128379167	0	0	0	255	255	NaN	NaN	100	255	1	778	684	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	242	0	242	242	242	777.666687	817	777.5	816.5	0	777	817	1	1	1.128379167	1.128379167	0	0	0	242	242	NaN	NaN	100	242	1	777	682	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	241	0	241	241	241	779	818	779.5	817.5	0	779	818	1	1	1.128379167	1.128379167	0	0	0	241	241	NaN	NaN	100	241	1	779	681	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	167	0	167	167	167	783.333313	825.666687	783.5	825.5	0	783	826	1	1	1.128379167	1.128379167	0	0	0	167	167	NaN	NaN	100	167	1	783	673	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	203	0	203	203	203	780.333313	820.333313	780.5	820.5	0	780	821	1	1	1.128379167	1.128379167	0	0	0	203	203	NaN	NaN	100	203	1	780	678	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	203	0	203	203	203	780.333313	820.333313	780.5	820.5	0	780	821	1	1	1.128379167	1.128379167	0	0	0	203	203	NaN	NaN	100	203	1	780	678	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	55	0	55	55	55	783.333313	816	783.5	815.5	0	783	816	1	1	1.128379167	1.128379167	0	0	0	55	55	NaN	NaN	100	55	1	783	683	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	60	0	60	60	60	784	816	784.5	815.5	0	784	816	1	1	1.128379167	1.128379167	0	0	0	60	60	NaN	NaN	100	60	1	784	683	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	201	0	201	201	201	785	821	785.5	820.5	0	785	821	1	1	1.128379167	1.128379167	0	0	0	201	201	NaN	NaN	100	201	1	785	678	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	255	0	255	255	255	785.666687	821.666687	785.5	821.5	0	785	822	1	1	1.128379167	1.128379167	0	0	0	255	255	NaN	NaN	100	255	1	785	677	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	128	0	128	128	128	787.333313	823.333313	787.5	823.5	0	787	824	1	1	1.128379167	1.128379167	0	0	0	128	128	NaN	NaN	100	128	1	787	675	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	253	0	253	253	253	789	824.666687	789.5	824.5	0	789	825	1	1	1.128379167	1.128379167	0	0	0	253	253	NaN	NaN	100	253	1	789	674	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	195	0	195	195	195	790.333313	825.666687	790.5	825.5	0	790	826	1	1	1.128379167	1.128379167	0	0	0	195	195	NaN	NaN	100	195	1	790	673	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	95	0	95	95	95	793.333313	827	793.5	826.5	0	793	827	1	1	1.128379167	1.128379167	0	0	0	95	95	NaN	NaN	100	95	1	793	672	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	169	0	169	169	169	796	828	796.5	827.5	0	796	828	1	1	1.128379167	1.128379167	0	0	0	169	169	NaN	NaN	100	169	1	796	671	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	91	0	91	91	91	797.333313	828.666687	797.5	828.5	0	797	829	1	1	1.128379167	1.128379167	0	0	0	91	91	NaN	NaN	100	91	1	797	670	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	47	0	47	47	47	798.666687	828.666687	798.5	828.5	0	798	829	1	1	1.128379167	1.128379167	0	0	0	47	47	NaN	NaN	100	47	1	798	670	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	59	0	59	59	59	801.333313	828.666687	801.5	828.5	0	801	829	1	1	1.128379167	1.128379167	0	0	0	59	59	NaN	NaN	100	59	1	801	670	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	160	0	160	160	160	806	828.666687	806.5	828.5	0	806	829	1	1	1.128379167	1.128379167	0	0	0	160	160	NaN	NaN	100	160	1	806	670	0	0	0	0	NaN	1	197
