"Label","Area","Mean","StdDev","Mode","Min","Max","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Ch","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","Counter","Count","File_ID","Channel","X.Pixel","Y.Pixel","X.Pixel.Centered","Y.Pixel.Centered","X.Scaled","Y.Scaled"
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,169,0,169,169,169,796,828,796.5,827.5,0,796,828,1,1,1.128379167,1.128379167,0,0,0,169,169,NA,NA,100,169,1,796,671,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",796,828,44.5,80.5,0.363265306122449,0.83419689119171
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,91,0,91,91,91,797.333312988,828.666687012,797.5,828.5,0,797,829,1,1,1.128379167,1.128379167,0,0,0,91,91,NA,NA,100,91,1,797,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",797.333312988,828.666687012,45.833312988,81.166687012,0.374149493779592,0.841105564891192
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,47,0,47,47,47,798.666687012,828.666687012,798.5,828.5,0,798,829,1,1,1.128379167,1.128379167,0,0,0,47,47,NA,NA,100,47,1,798,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",798.666687012,828.666687012,47.166687012,81.166687012,0.385034179689796,0.841105564891192
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,59,0,59,59,59,801.333312988,828.666687012,801.5,828.5,0,801,829,1,1,1.128379167,1.128379167,0,0,0,59,59,NA,NA,100,59,1,801,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",801.333312988,828.666687012,49.833312988,81.166687012,0.406802555004082,0.841105564891192
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,160,0,160,160,160,806,828.666687012,806.5,828.5,0,806,829,1,1,1.128379167,1.128379167,0,0,0,160,160,NA,NA,100,160,1,806,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",806,828.666687012,54.5,81.166687012,0.444897959183673,0.841105564891192
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,93,0,93,93,93,807.666687012,828.666687012,807.5,828.5,0,807,829,1,1,1.128379167,1.128379167,0,0,0,93,93,NA,NA,100,93,1,807,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",807.666687012,828.666687012,56.166687012,81.166687012,0.458503567444898,0.841105564891192
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,83,0,83,83,83,810.333312988,828,810.5,827.5,0,810,828,1,1,1.128379167,1.128379167,0,0,0,83,83,NA,NA,100,83,1,810,671,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",810.333312988,828,58.833312988,80.5,0.480271942759184,0.83419689119171
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,108,0,108,108,108,812,827.333312988,812.5,827.5,0,812,828,1,1,1.128379167,1.128379167,0,0,0,108,108,NA,NA,100,108,1,812,671,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",812,827.333312988,60.5,79.833312988,0.493877551020408,0.827288217492228
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,80,0,80,80,80,814,826,814.5,825.5,0,814,826,1,1,1.128379167,1.128379167,0,0,0,80,80,NA,NA,100,80,1,814,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",814,826,62.5,78.5,0.510204081632653,0.813471502590674
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,76,0,76,76,76,815,826,815.5,825.5,0,815,826,1,1,1.128379167,1.128379167,0,0,0,76,76,NA,NA,100,76,1,815,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",815,826,63.5,78.5,0.518367346938776,0.813471502590674
